states,tags,notes,date,time
North Carolina,,"Welcome to Teach4NC, dedicated to the recruitment of teaching professionals for public schools in North Carolina. ",9/15/15,18:19
Kentucky,economic development,kentucky cabinet of economic development ,8/27/15,16:58
Tennessee,national guard,Tennessee National Guard ,6/26/14,7:13
Tennessee,"travel and tourism,tourism site","Tennessee Vacation, the travel and tourism site for the state of Tennessee ",8/18/14,15:23
Alaska,"travel and tourism,tourism site",Travel and Tourism Site for Alaska ,6/6/13,19:44
Iowa,"travel and tourism,tourism site",Travel and Tourism Site for Iowa ,6/6/13,19:44
Kansas,"travel and tourism,tourism site",Travel and Tourism Site for Kansas ,6/6/13,19:44
Nevada,travel and tourism,Travel and Tourism Sites for Nevada ,6/6/13,19:11
Oklahoma,travel and tourism,Travel and Tourism Sites for Oklahoma ,6/6/13,19:11
Oregon,"travel and tourism,tourism site","Travel and Tourism Site for Oregon, Oregon Tourism Commission ",7/23/14,16:09
South Dakota,travel and tourism,Travel and Tourism Sites for South Dakota ,6/6/13,19:11
Texas,travel and tourism,Travel and Tourism Sites for Texas ,6/6/13,19:11
Wisconsin,travel and tourism,Travel and Tourism Sites for Wisconsin ,6/6/13,19:11
Washington,washington state,Washington State Tobacco Settlement Authority ,4/8/14,18:29
Arkansas,"cooperative extension,cooperative extension service","University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service ",12/10/14,7:11
Alaska,"cooperative extension,cooperative extension service",University of Alaska Fairbanks Cooperative Extension Service ,6/7/13,16:34
Virgin Islands,,U.S. Virgin Islands Bureau of Economic Research ,8/18/14,14:14
Virgin Islands,"economic development authority,development authority,economic development",U.S. Virgin Islands Economic Development Authority ,8/18/14,14:12
Wyoming,"cooperative extension,cooperative extension service",University of Wyoming Cooperative Extension Service ,7/23/14,5:39
Virginia,virginia department,Virginia Department for Aging and Rehabilitative Services ,8/27/15,14:22
Virginia,virginia department,Virginia Department for Aging and Rehabilitative Services ,6/6/13,18:09
Virginia,virginia department,Virginia Department of Fire Programs ,6/12/13,18:15
Virginia,virginia department,Virginia Department for the Blind and Vision Impaired ,7/11/14,19:09
Virginia,virginia department,Virginia Department for the Deaf and Hard of Hearing (VDDHH) ,7/11/14,19:09
,state of north,State of North Carolina's Vendor Registration ,1/14/14,13:04
Vermont,historical society,Vermont Historical Society ,8/18/14,5:36
